name,cpu,cores,freq_MHz,OS,compiler,version,options,real_time,user_time
candy,Celeron N2840,2,2583,Ubuntu 20.04,gcc,9.4.0,,68.04,67.71
candy,Celeron N2840,2,2583,Ubuntu 20.04,gcc,9.4.0,O,20.36,20.16
candy,Celeron N2840,2,2583,Ubuntu 20.04,gcc,9.4.0,O2,19.347,18.899
candy,Celeron N2840,2,2583,Ubuntu 20.04,gcc,9.4.0,O3,18.908,18.868
mr_burner,Core M-5Y71,4,1200,Ubuntu 20.04,gcc,9.4.0,,69.68,69.28
mr_burner,Core M-5Y71,4,1200,Ubuntu 20.04,gcc,9.4.0,O,29.607,29.603
mr_burner,Core M-5Y71,4,1200,Ubuntu 20.04,gcc,9.4.0,O2,27.658,27.639
mr_burner,Core M-5Y71,4,1200,Ubuntu 20.04,gcc,9.4.0,O3,25.154,25.134
mr_desktop,Core i5-8500T,6,2100,Ubuntu 20.04,gcc,9.4.0,,4.346,4.346
mr_desktop,Core i5-8500T,6,2100,Ubuntu 20.04,gcc,9.4.0,O,4.292,4.292
mr_desktop,Core i5-8500T,6,2100,Ubuntu 20.04,gcc,9.4.0,O2,4.29,4.284
mr_desktop,Core i5-8500T,6,2100,Ubuntu 20.04,gcc,9.4.0,O3,4.292,4.288
mr_phone,ARMv7,4,1500,Android 10,gcc,7.5.0,,159.56,159.3
mr_phone,ARMv7,4,1500,Android 10,gcc,7.5.0,O,107.7,107.39
mr_phone,ARMv7,4,1500,Android 10,gcc,7.5.0,O2,104.87,104.61
mr_phone,ARMv7,4,1500,Android 10,gcc,7.5.0,O3,104,103.7
palantir,Core i7-3820,8,3500,Ubuntu 20.04,gcc,9.4.0,,16.377,16.372
palantir,Core i7-3820,8,3500,Ubuntu 20.04,gcc,9.4.0,O,7.618,7.614
palantir,Core i7-3820,8,3500,Ubuntu 20.04,gcc,9.4.0,O2,7.123,7.123
palantir,Core i7-3820,8,3500,Ubuntu 20.04,gcc,9.4.0,O3,6.684,6.68
melkor,vaxstation 3520,2,12.5,OpenBSD 5.8,gcc,3.3.6,,124588.27,88296.38
melkor,vaxstation 3520,2,12.5,OpenBSD 5.8,gcc,3.3.6,O2,109563.31,86607.3
melkor,vaxstation 3520,2,12.5,OpenBSD 5.8,gcc,3.3.6,O3,110229.15,84576.1
tsr_laptop,Core i5-2520M,4,2500,Ubuntu 20.04,gcc,9.4.0,,20.029,19.977
tsr_laptop,Core i5-2520M,4,2500,Ubuntu 20.04,gcc,9.4.0,O,9.508,9.453
tsr_laptop,Core i5-2520M,4,2500,Ubuntu 20.04,gcc,9.4.0,O2,8.555,8.548
tsr_laptop,Core i5-2520M,4,2500,Ubuntu 20.04,gcc,9.4.0,O3,8.014,8.012
